Shrub.ID,D1,D2,H,Area,Log.area,Volume,Canopy,RDM.2013,Shrub.density,x,y
175,2.5,2.2,1.12,4.32,1.463255402,1.61,2,0.288774461,0.004462854,697015.9467,4063279.266
176,2.8,2.4,1.14,5.28,1.663926098,2.01,5,0.475138754,0.004758099,697016.5262,4063273.507
177,3.1,2.9,1.45,7.06,1.954445052,3.41,6,0.311085224,0.003741312,697007.5708,4063281.959
178,5.8,4.7,1.75,21.41,3.063858103,12.49,4,0.134629294,0.003993359,697014.0779,4063298.316
179,3.1,2.8,0.98,6.82,1.919859472,2.23,4,0.112894788,0.003614545,697009.9449,4063299.22
180,5.2,3.9,1.24,15.93,2.768204124,6.58,5,0.132775903,0.003973247,696995.1052,4063303.097
181,2.9,3,1.34,6.83,1.921324674,3.05,4,0.410816878,0.00318071,696996.5603,4063286.479
182,4.9,3,1.9,11.55,2.446685437,7.31,7,0.017785169,0.002982739,696978.5424,4063276.962
183,4.3,3.3,1.7,11.14,2.410542234,6.32,5,0.007797989,0.002491624,696983.9314,4063244.782
184,3,3.9,1.71,9.19,2.218115936,5.24,5,0,0.003839893,696996.7978,4063252.849
185,4.6,4.8,2.05,17.34,2.853015971,11.85,5,0,0.00443993,697005.0435,4063255.814
186,2.4,2.3,1.42,4.34,1.467874348,2.05,3,0,0.003220405,696996.328,4063234.41
187,2.8,2.3,1.28,5.06,1.621366483,2.16,3,0,0.004057215,697002.4702,4063235.551
188,4.07,3.3,1.99,10.55,2.35612586,7,7,0.273651898,0.005516039,697026.9189,4063253.098
189,2.1,1.63,1.11,2.69,0.989541194,0.99,5,0.206726596,0.004928773,697021.4558,4063249.642
190,5,4.6,1.48,18.06,2.893699548,8.91,7,0,0.004352856,697018.1881,4063244.016
191,3.9,3.1,1.23,9.5,2.251291799,3.89,3,0.129655585,0.003320572,696999.2357,4063224.597
192,4.2,1.6,1.77,5.28,1.663926098,3.11,5,0,0.004096943,697022.454,4063233.457
193,3.32,2.9,1,7.56,2.02287119,2.52,5,0,0.004201631,697026.5079,4063232.108
194,2.2,1.84,1.13,3.18,1.156881197,1.2,3,0,0.004122969,697029.6837,4063237.842
195,3.25,2.5,1.34,6.38,1.853168097,2.85,3,0,0.004644572,697024.7695,4063226.073
196,3.7,3.05,0.83,8.86,2.181546765,2.45,2,0,0.0045802,697035.637,4063212.225
197,2.9,3.6,1.5,8.2,2.104134154,4.1,4,0,0.003961049,697037.5083,4063204.719
198,2.8,3,1.2,6.6,1.887069649,2.64,6,0,0.00364398,697040.8883,4063201.578
199,2.42,1.9,0.96,3.61,1.283707772,1.16,1,0,0.004078541,697047.2296,4063205.72
200,1.9,1.2,0.7,1.79,0.58221562,0.42,2,0,0.004474741,697045.9915,4063209.022
201,2.57,2.15,1.23,4.34,1.467874348,1.78,5,1.324079633,0.002379286,697010.7975,4063320.443
202,3.68,4.59,1.17,13.27,2.585505848,5.17,5,1.807201028,0.003043313,697000.4942,4063325.312
203,4.1,4.5,1.5,14.49,2.673458756,7.25,6,1.93544507,0.003891915,696991.6997,4063330.66
204,3.34,3.04,1.24,7.97,2.075684493,3.3,5,0.789515972,0.004109532,696978.8028,4063335.581
205,4.02,3.55,1.39,11.21,2.416806237,5.19,5,0.934774578,0.003301128,696978.7288,4063311.601
206,3.08,3.84,1.44,9.29,2.228938553,4.46,5,3.124901056,0.003480734,696970.8048,4063310.198
207,3.98,3.28,1.53,10.25,2.327277706,5.23,5,2.729038239,0.003487992,696965.5383,4063317.625
208,2.59,3.87,1.53,7.87,2.063058062,4.01,4,0.724405348,0.004758099,696972.6122,4063332.663
209,2.68,3.32,1.37,6.99,1.944480556,3.19,3,0.920684576,0.004580812,696968.012,4063334.444
210,4.9,4.5,1.8,17.32,2.851861903,10.39,6,1.505930066,0.004717772,696962.6868,4063332.768
211,1.37,1.34,0.87,1.44,0.364643114,0.42,3,3.901698589,0.003489272,696972.0507,4063353.187
212,2.14,1.74,0.46,2.92,1.071583616,0.45,0,3.652542114,0.003734893,696967.6879,4063352.421
213,1.31,1.28,0.93,1.32,0.277631737,0.41,3,2.195794106,0.004471469,696959.5112,4063350.345
214,3.29,2.19,1.16,5.66,1.733423892,2.19,2,2.731579542,0.004566506,696949.5015,4063346.341
215,1.68,1.05,0.88,1.39,0.329303747,0.41,2,2.384144306,0.004440892,696948.3656,4063349.09
216,3.2,2.9,1.6,7.29,1.986503546,3.89,7,3.268583298,0.005115514,696948.0311,4063344.198
217,1.9,1.3,1,1.94,0.662687973,0.65,9,4.448494434,0.002748899,696942.4785,4063313.542
218,6.08,3.82,1.33,18.24,2.903616985,8.09,4,1.319182396,0.003408623,696921.3437,4063319.05
219,3.8,2.5,1.5,7.46,2.009555414,3.73,6,0.490523785,0.004401678,696917.1673,4063325.726
220,3.7,3.15,1.38,9.15,2.213753879,4.21,6,0.970475137,0.0044442,696916.833,4063336.375
221,3.98,3.12,1.32,9.75,2.277267285,4.29,5,0.933307648,0.006251299,696920.0394,4063344.663
222,2.2,2.26,1.07,3.9,1.360976553,1.39,3,2.020394802,0.005134847,696934.491,4063353.766
223,2.07,2.23,1.25,3.63,1.289232648,1.51,2,0.990538239,0.005185606,696938.6062,4063365.295
224,2.03,1.83,1.12,2.92,1.071583616,1.09,3,1.001574278,0.004943638,696940.9191,4063365.792
225,1.47,1.84,1.06,2.12,0.751416089,0.75,3,0.965362072,0.004672674,696939.8852,4063367.988
226,2.49,2.78,1.02,5.44,1.693779061,1.85,4,0.494442046,0.005004548,696925.9648,4063386.318
227,1.16,2.06,0.79,1.88,0.631271777,0.49,4,2.400747538,0.005030908,696924.7395,4063392.95
228,1.94,1.33,0.99,2.03,0.708035793,0.67,5,3.673213482,0.005113817,696916.471,4063402.64
229,2.14,1.85,1.08,3.11,1.134622726,1.12,4,2.132717133,0.006058035,696911.9576,4063396.763
230,3.04,2.98,1.18,7.12,1.962907725,2.8,5,1.897512913,0.006814951,696909.3486,4063389.71
231,1.72,0.97,0.88,1.31,0.270027137,0.38,5,1.189873219,0.007604102,696913.8874,4063378.935
232,2.61,2.18,0.87,4.47,1.497388409,1.3,4,0.592691839,0.007300675,696917.6885,4063376.913
233,1.8,1.26,0.85,1.78,0.576613364,0.5,5,1.884451985,0.007449636,696909.5935,4063371.288
234,2.77,1.44,0.85,3.13,1.141033005,0.89,7,0.724503934,0.006808589,696909.5449,4063357.854
235,1.65,2.1,1.14,2.72,1.00063188,1.03,8,0.352153271,0.005897769,696904.8604,4063355.526
236,2.46,1.92,1.35,3.71,1.311031877,1.67,7,0.433576792,0.006281302,696906.1496,4063357.776
237,2.75,2.08,1,4.49,1.501852702,1.5,4,0.598273873,0.006347979,696911.896,4063352.802
238,5.65,3.3,0.81,14.64,2.683757509,3.95,3,0.229024142,0.005816966,696901.2071,4063331.686
239,2.4,2.3,1.3,4.34,1.467874348,1.88,7,0.119904004,0.005308962,696899.8747,4063346.864
240,2,1.35,1.03,2.12,0.751416089,0.73,3,0.327385187,0.006648377,696898.3559,4063362.37
241,4.51,2.13,0.89,7.54,2.020222182,2.24,3,2.83969903,0.005222577,696885.5686,4063343.093
242,4.52,3.42,1.29,12.14,2.496505786,5.22,4,4.229522228,0.005120662,696881.04,4063349.539
243,4.17,2.9,1.1,9.5,2.251291799,3.48,5,7.076738358,0.005090429,696872.2862,4063341.456
244,3.45,2.2,1.28,5.96,1.785070481,2.54,6,5.618429184,0.004513451,696868.8476,4063343.264
245,4.3,4.6,1.28,15.54,2.743417345,6.63,3,0.222398221,0.006612976,696898.1261,4063360.7
246,3.43,2.84,1.32,7.65,2.034705648,3.37,6,3.020266533,0.006932893,696901.3377,4063372.652
247,3.03,2.07,1.36,4.93,1.595338988,2.23,4,3.656270981,0.007800653,696898.0497,4063379.57
248,2.94,2.95,1.34,6.81,1.91839212,3.04,6,3.423806429,0.00736257,696887.0421,4063383.979
249,3.3,2.5,1.78,6.48,1.86872051,3.84,6,5.2523489,0.00477253,696871.8323,4063372.861
250,3.24,2.5,1.39,6.36,1.850028377,2.95,5,7.470829487,0.004561445,696866.3769,4063369.072
251,3.58,3.53,1.44,9.93,2.295560478,4.76,6,10.38888645,0.004142236,696861.8302,4063360.753
252,3.6,3,1.7,8.48,2.13771045,4.81,6,0.065131083,0.002882892,696964.5834,4063273.643
253,2.54,3.78,1.31,7.54,2.020222182,3.29,5,0.133034497,0.0030719,696962.1429,4063267.037
254,3.58,2.67,1.39,7.51,2.016235466,3.48,4,0.304320067,0.002655042,696961.3386,4063251.477
255,4.09,3.57,1.18,11.47,2.439734931,4.51,6,0.405189276,0.002220446,696941.7864,4063258.132
256,3.95,2.76,1.37,8.56,2.14710019,3.91,5,0.479235739,0.002798889,696951.283,4063265.011
257,4.1,2.9,1.8,9.34,2.234306252,5.6,5,0.105402842,0.002854859,696956.8687,4063274.798
258,5.7,6.6,1.8,29.55,3.386083744,17.73,5,0.202296481,0.002552192,696944.1811,4063278.391
259,5.7,3.4,1.8,15.22,2.722610352,9.13,7,1.694335461,0.002981529,696948.8095,4063290.931
260,3.66,3.02,1.27,8.68,2.161021529,3.68,7,0.070096396,0.003643695,696911.9897,4063274.875
261,3,1.7,1.6,4.01,1.388791241,2.14,6,0.335151851,0.003489272,696907.8311,4063273.003
262,1.83,1.91,1.21,2.75,1.011600912,1.11,3,1.152810335,0.003476703,696902.3246,4063271.433
263,2.41,2.77,1.56,5.24,1.656321498,2.73,6,0.148033664,0.004353175,696903.4173,4063282.226
264,5.6,3.9,1.6,17.15,2.841998174,9.15,5,0.229517832,0.004504896,696911.4385,4063294.955
265,3.1,3,1.3,7.3,1.987874348,3.17,9,0.388779998,0.004572802,696919.4314,4063297.248
266,3.4,2.5,1.6,6.68,1.899117988,3.56,8,0.300849527,0.004804642,696901.84,4063311.941
267,1.5,1.07,0.66,1.26,0.231111721,0.28,1,0.510892808,0.005548863,696893.0608,4063308.853
268,3.94,4.29,1.2,13.28,2.586259144,5.31,6,0.745578408,0.005169617,696900.5123,4063295.814
269,1.98,2.51,1.12,3.9,1.360976553,1.46,5,0.329518914,0.005075306,696901.947,4063291.74
270,4.37,3.96,1.71,13.59,2.609334228,7.75,8,0.66242528,0.004757609,696894.1939,4063282.902
271,3.3,4.5,1.4,11.66,2.456164181,5.44,9,1.777289987,0.00387716,696883.4719,4063278.77
272,4.37,2.95,0.56,10.12,2.314513664,1.89,1,1.808705568,0.004271832,696884.151,4063280.34
273,2.6,0.3,1.3,0.61,1.1,0.27,4,1.913101077,0.004515328,696870.9938,4063288.807
274,3.15,3.58,1.38,8.86,2.181546765,4.07,6,1.320585728,0.005894213,696877.0059,4063299.491
275,5.49,5.46,1.36,23.54,3.158701102,10.67,8,0.159010455,0.004600592,696889.5966,4063315.656
276,3.6,3.7,1.5,10.46,2.347558459,5.23,7,2.400001526,0.006173809,696875.671,4063322.551
277,3.8,3.2,1.4,9.55,2.256541154,4.46,5,0.409419596,0.006344132,696869.5007,4063314.86
278,1.78,1.7,0.89,2.38,0.867100488,0.71,6,2.103858471,0.005643742,696862.9168,4063301.832
279,1.73,2.11,0.99,2.87,1.05431203,0.95,2,3.097310543,0.005033871,696859.2943,4063299.972
280,2.11,2.06,1.14,3.41,1.226712291,1.3,6,10.57370472,0.004352801,696852.9402,4063296.385
281,3.1,2.24,1.28,5.45,1.695615609,2.33,6,8.289096832,0.004327211,696847.7682,4063295.822
282,4.27,3.53,1.88,11.84,2.471483629,7.42,7,4.693207741,0.005383692,696852.1235,4063304.692
283,2.49,3.81,0.99,7.45,2.008214032,2.46,7,2.002691507,0.0056329,696853.9643,4063317.944
284,1.8,2.03,0.8,2.87,1.05431203,0.77,5,1.47434485,0.005343849,696854.1277,4063322.499
285,6.58,4.6,1.32,23.77,3.168424281,10.46,3,1.217690229,0.00475618,696851.8277,4063329.218
286,1.96,1.98,1.02,3.05,1.115141591,1.04,5,1.682125926,0.004595185,696851.9273,4063332.662
287,2.95,2.72,1.12,6.3,1.840549633,2.35,5,5.32265377,0.005524515,696844.7793,4063324.726
288,3,2.31,0.93,5.44,1.693779061,1.69,2,4.922110081,0.004808571,696845.2207,4063313.303
289,4.04,3.96,1.49,12.57,2.531313023,6.24,6,9.846129417,0.004673221,696837.4805,4063311.681
290,3.94,4.24,1.88,13.12,2.574137784,8.22,10,11.35019588,0.003453145,696827.2793,4063308.228
291,4.34,5.28,2.15,18,2.890371758,12.9,7,17.34006691,0.002938323,696816.5066,4063317.971
292,2.77,3.51,1.23,7.64,2.033397603,3.13,7,9.561607361,0.002945381,696820.4792,4063339.598
293,4.42,4.55,1.27,15.8,2.76000994,6.69,4,9.571702003,0.003489272,696809.1551,4063349.995
294,5.23,4.06,1.83,16.68,2.814210397,10.17,4,7.951782703,0.002854859,696806.8241,4063338.618
295,2.34,2.69,1.19,4.94,1.597365331,1.96,3,8.494930267,0.003639181,696795.2011,4063334.798
